med_earn,geometry,city_name
50375,"list(list(c(-87.7210629190263, -87.719907, -87.715011, -87.712578, -87.7125776734571, -87.7125776239013, -87.7128334151399, -87.7129696103075, -87.713132507957, -87.7133034291936, -87.7135333622807, -87.7138017941637, -87.7140407020754, -87.7141596421035, -87.7143220622759, -87.7144136761948, -87.7145443748693, -87.7147325837185, -87.7150211304503, -87.7152874071512, -87.7155088403919, -87.7156301256021, -87.7157389923103, -87.7159436492244, -87.7162415270345, -87.7164387808488, -87.7166171364952, 
-87.7168475080587, -87.7168530759471, -87.7170604070586, -87.7171014322684, -87.7172254293053, -87.7174626131988, -87.7176223986132, -87.7179843110286, -87.7180819318986, -87.7181720817456, -87.7183683500377, -87.7184280585441, -87.7186874870797, -87.7189574638875, -87.7191527785537, -87.7192889342187, -87.7194682044475, -87.7195798909962, -87.7199061668794, -87.7201424765825, -87.7203392189212, -87.7204840560252, -87.7205435814662, -87.7207860094381, -87.7210629190263, 41.7131709177641, 41.713188, 
41.71326, 41.713296, 41.7132955391783, 41.7132974697793, 41.7132938840281, 41.7132918475901, 41.7132894619541, 41.7132869261789, 41.7132835558341, 41.7132795426749, 41.7132759729852, 41.7132743086796, 41.7132720540796, 41.7132707648289, 41.7132689153687, 41.7132663069948, 41.7132615202588, 41.7132570806578, 41.7132538521981, 41.713252062037, 41.7132504786158, 41.7132474621277, 41.7132437384088, 41.7132412842123, 41.7132386736445, 41.7132353003926, 41.7132352202154, 41.7132322166332, 41.7132316119702, 
41.7132298077729, 41.7132263586663, 41.7132240314912, 41.713218724208, 41.7132172712724, 41.7132159429196, 41.71321304214, 41.7132121541522, 41.7132075037202, 41.7132026909241, 41.7132000018801, 41.7131981509407, 41.7131957054938, 41.7131942163753, 41.7131888776327, 41.7131850066782, 41.7131824615496, 41.7131804074165, 41.7131795453451, 41.7131754040916, 41.7131709177641)), list(c(-87.7112991543974, -87.711299, -87.7112990068661, -87.7112991543974, 41.7114912179017, 41.711491, 41.7114912196017, 41.7114912179017
)))",chi
41051,"list(c(-87.717145, -87.717088, -87.717074, -87.714632, -87.714596, -87.712157, -87.710813, -87.707618, -87.707568, -87.707219, -87.707586, -87.707895, -87.707646, -87.70745, -87.707427, -87.709866, -87.711069, -87.71231, -87.715971, -87.717195, -87.717145, 41.930091, 41.928255, 41.927804, 41.927834, 41.926444, 41.926481, 41.926503, 41.926513, 41.924714, 41.924716, 41.927967, 41.928365, 41.928729, 41.929225, 41.932029, 41.932003, 41.931985, 41.931984, 41.931924, 41.931911, 41.930091))",chi
61556,"list(c(-87.682119, -87.682093, -87.682046, -87.681949, -87.6795, -87.677052, -87.677156, -87.677258, -87.6797, -87.68214, -87.682119, 41.902172, 41.901283, 41.899466, 41.895827, 41.895868, 41.895912, 41.899551, 41.903191, 41.903147, 41.903107, 41.902172))",chi
37250,"list(c(-87.692231, -87.692162, -87.691505, -87.686431, -87.68396, -87.681529, -87.676642, -87.67669, -87.676846, -87.68174, -87.685993, -87.686623, -87.687092, -87.690304, -87.692277, -87.692231, 41.882941, 41.881106, 41.881113, 41.881162, 41.881159, 41.881198, 41.881314, 41.883147, 41.88872, 41.888641, 41.888572, 41.888527, 41.888415, 41.887674, 41.884403, 41.882941))",chi
26799,"list(c(-87.59661, -87.596544, -87.593349, -87.591695, -87.591748, -87.591821, -87.596677, -87.59661, 41.797987, 41.795066, 41.795111, 41.795509, 41.798046, 41.800976, 41.800923, 41.797987))",chi
30341,"list(c(-87.62373, -87.618986, -87.616561, -87.614143, -87.614273, -87.614301, -87.61919, -87.619177, -87.623938, -87.62373, 41.721703, 41.721809, 41.721851, 41.721892, 41.726934, 41.72787, 41.729523, 41.729119, 41.729042, 41.721703))",chi
23294,"list(c(-87.7099, -87.709811, -87.709714, -87.709099, -87.707277, -87.704823, -87.70493, -87.70504, -87.70991, -87.7099, 41.843997, 41.840798, 41.837145, 41.837156, 41.837184, 41.837233, 41.840877, 41.844518, 41.84445, 41.843997))",chi
30883,"list(c(-87.699098, -87.699038, -87.699011, -87.698952, -87.692396, -87.692347, -87.691613, -87.689169, -87.689221, -87.689448, -87.693087, -87.694303, -87.699157, -87.699098, 41.981295, 41.97947, 41.978559, 41.976733, 41.976704, 41.975867, 41.976334, 41.976346, 41.977708, 41.983168, 41.983152, 41.983146, 41.983121, 41.981295))",chi
80393,"list(c(-87.687316, -87.683155, -87.68242, -87.682447, -87.680014, -87.680096, -87.682519, -87.684959, -87.68741, -87.687316, 41.913995, 41.914059, 41.913582, 41.914619, 41.91467, 41.917707, 41.917659, 41.917615, 41.917568, 41.913995))",chi
30375,"list(c(-87.61545, -87.612181, -87.610517, -87.605586, -87.605639, -87.605727, -87.605769, -87.60941, -87.613045, -87.61545, 41.77297, 41.770582, 41.769406, 41.765881, 41.767489, 41.771322, 41.773141, 41.773078, 41.773012, 41.77297))",chi
