med_earn,geometry,city_name
36908,"list(c(-93.3184354904325, -93.318407, -93.313339, -93.308235, -93.30827, -93.308334, -93.313431, -93.318527, -93.3185249251017, -93.3184812082135, -93.3184344311401, -93.318435445338, -93.3184354444397, -93.3184354904325, 45.013235239628, 45.01323, 45.013249, 45.013241, 45.018654, 45.02409, 45.024097, 45.024094, 45.0239704979703, 45.0222802328092, 45.0204717225958, 45.0135490761768, 45.0135461276182, 45.013235239628))",mpls
45111,"list(c(-93.257893, -93.254945, -93.250206, -93.247786, -93.247573, -93.247455, -93.247414, -93.25753, -93.25753, -93.257893, 44.995378, 44.991013, 44.992634, 44.995836, 44.996277, 44.996914, 44.998714, 44.998711, 44.998355, 44.995378))",mpls
41564,"list(c(-93.298256, -93.293167, -93.288071, -93.288055, -93.288033, -93.288033, -93.288017, -93.28801, -93.288002, -93.287988, -93.287987, -93.288363, -93.288624, -93.292725, -93.295441, -93.296789, -93.298256, 44.951954, 44.951954, 44.95195, 44.953732, 44.95731, 44.957329, 44.959118, 44.960918, 44.9627, 44.964185, 44.964375, 44.967141, 44.966286, 44.960918, 44.957336, 44.955543, 44.951954))",mpls
41890,"list(c(-93.274629, -93.267738, -93.262642, -93.262611, -93.262558, -93.262535, -93.262512, -93.267555, -93.271719, -93.274048, -93.274568, -93.27454, -93.274629, 44.916047, 44.916111, 44.916107, 44.919716, 44.923325, 44.925139, 44.926943, 44.926937, 44.92674, 44.926899, 44.926896, 44.919663, 44.916047))",mpls
17016,"list(c(-93.259674, -93.259628, -93.257439, -93.252342, -93.249832, -93.24984, -93.247547, -93.24667, -93.245886, -93.247019, -93.249533, -93.250792, -93.252271, -93.256048, -93.257158, -93.259662, -93.259674, 44.962719, 44.959126, 44.959122, 44.959133, 44.959135, 44.96093, 44.960917, 44.960098, 44.96087, 44.962532, 44.966223, 44.966211, 44.966, 44.965513, 44.965862, 44.965834, 44.962719))",mpls
44685,"list(c(-93.222961, -93.222946, -93.222931, -93.219147, -93.215324, -93.215317, -93.215309, -93.21785, -93.217827, -93.217834, -93.222946, -93.222961, 44.941387, 44.937767, 44.934147, 44.934204, 44.934246, 44.937847, 44.941457, 44.941425, 44.945019, 44.948357, 44.948368, 44.941387))",mpls
82379,"list(c(-93.3290982009225, -93.329097, -93.329086, -93.329056, -93.3290639580726, -93.3290643243561, -93.329086493879, -93.3290921856047, -93.3290982009225, 44.9230801735232, 44.923378, 44.926937, 44.930587, 44.9305870013061, 44.9305559701166, 44.9269523907378, 44.9250692529956, 44.9230801735232))",mpls
47696,"list(c(-93.2269248262962, -93.226929, -93.229485, -93.237106, -93.23711, -93.237114, -93.237122, -93.237122, -93.233276, -93.229614, -93.2268673451135, -93.2268673468194, -93.2268710567877, -93.226883, -93.226898, -93.226898, -93.2269030742439, -93.2269173910656, -93.2269248262962, 45.0346018524192, 45.035671, 45.035656, 45.035606, 45.02947, 45.02766, 45.024055, 45.023972, 45.022263, 45.019222, 45.0189218028806, 45.0189223912861, 45.0212115571317, 45.024097, 45.027714, 45.027729, 45.0290291394232, 
45.0313449437206, 45.0346018524192))",mpls
31938,"list(c(-93.274436, -93.26886, -93.26767, -93.263069, -93.260246, -93.260048, -93.260345, -93.263084, -93.274889, -93.274436, 45.005943, 45.006054, 45.005039, 45.005287, 45.005249, 45.006378, 45.013165, 45.013161, 45.013126, 45.005943))",mpls
41174,"list(c(-93.2076911710073, -93.207687, -93.207652, -93.207596, -93.208862, -93.212692, -93.217781, -93.222878, -93.222931, -93.222954, -93.222961, -93.222961, -93.2229619952174, -93.2228319007641, -93.2228316150999, -93.2228171701901, -93.2227675292875, -93.2205343246777, -93.2205328990513, -93.2204134464747, -93.219264038594, -93.2191475306949, -93.2191560386389, -93.2193801440478, -93.2197443021994, -93.2209551494557, -93.2212754258039, -93.2225192035019, -93.2225257477288, -93.2203142041954, -93.219171715139, 
-93.219163184737, -93.2170544524896, -93.2171036406413, -93.2160470404075, -93.2108750692109, -93.2108526274985, -93.2076911710073, 44.8962369170834, 44.896317, 44.899963, 44.905392, 44.905391, 44.905388, 44.90538, 44.905373, 44.901758, 44.898113, 44.897449, 44.897152, 44.8970353124284, 44.8970350584921, 44.8970558326175, 44.8970741084455, 44.8970936321395, 44.8970967648642, 44.8972074059989, 44.8972622874099, 44.8977903559669, 44.897833892216, 44.8968203927266, 44.8968206829011, 44.8969993429639, 
44.8970008962837, 44.8968231156583, 44.8968246963458, 44.896039672172, 44.8949546909388, 44.8949532215643, 44.8959693343911, 44.8959665897828, 44.8937948158566, 44.8934198416653, 44.8934276838411, 44.8962320321872, 44.8962369170834))",mpls
